rank,school,grades,district,number_of_students,student_teacher_ratio,2017_rank,rank_change,fulltime_teachers,free_disc_lunch,avg_test_score,white,black,hispanic,asian,american_indian,pacific_islander,biracial,expected_test_score
666,Soos Creek Elementary School,"PK, KG-6",Kent School District,398,14.3,630,36,28,0.462,0.377,0.35700000000000004,0.08800000000000001,0.17300000000000001,0.196,0.003,0.053,0.131,0.5622494210994124
667,Geiger,K-5,Tacoma Public Schools,445,17.4,773,106,25,0.447,0.377,0.512,0.081,0.171,0.07,0.006999999999999999,0.02,0.139,0.5151597075619805
668,Green Mountain School,K-8,Green Mountain School District,154,15.8,651,17,10,0.40299999999999997,0.377,0.935,0,0.026000000000000002,0.013000000000000001,0,0,0.026000000000000002,0.6474499866024109
669,Evergreen Elementary School,K-6,Sedro-Woolley School District,552,14.6,611,58,38,0.618,0.376,0.603,0.009000000000000001,0.281,0.016,0.053,0.005,0.033,0.38581916467831434
670,Carter Lake Elementary School,"PK, KG-5",Clover Park School District,498,18.7,649,21,26,0.382,0.373,0.516,0.12,0.221,0.03,0.004,0.01,0.098,0.5239118234415518
671,Hough Elementary School,K-5,Vancouver Public Schools,315,13.6,624,47,23,0.556,0.373,0.6629999999999999,0.022000000000000002,0.2,0.019,0,0.003,0.092,0.45135126384633345
672,Centennial Elementary School Mt Vernon,K-5,Mount Vernon School District,537,15.4,675,3,35,0.79,0.373,0.255,0,0.7190000000000001,0.013000000000000001,0,0,0.013000000000000001,0.18736045470667143
673,Viewlands Elementary School,"PK, KG-5",Seattle School District,388,13.9,682,9,28,0.425,0.371,0.456,0.10800000000000001,0.198,0.09300000000000001,0.013000000000000001,0.003,0.129,0.530117244399678
674,Madison Elementary,K-6,Spokane Public Schools,362,14.4,646,28,25,0.7509999999999999,0.37,0.732,0.006,0.09699999999999999,0.027999999999999997,0.008,0,0.13,0.3573097812302089
675,Hazel Dell Elementary School,K-5,Vancouver Public Schools,487,16.1,732,57,30,0.6509999999999999,0.369,0.52,0.031,0.34299999999999997,0.013999999999999999,0.002,0.002,0.08800000000000001,0.33471249084566423
676,Green Gables Elementary School,"PK, KG-5",Federal Way School District,430,18.2,532,144,24,0.37200000000000005,0.369,0.451,0.12300000000000001,0.153,0.079,0,0.026000000000000002,0.16699999999999998,0.5511464370323726
677,White Pass Elementary School,K-6,White Pass School District,207,18.6,689,12,11,0.725,0.368,0.894,0.01,0.08199999999999999,0,0.01,0,0.005,0.4072369411436902
678,Lincoln Elementary School,K-5,Mount Vernon School District,370,15.3,759,81,24,0.705,0.36700000000000005,0.37799999999999995,0.005,0.546,0.022000000000000002,0.005,0.016,0.027000000000000003,0.26540352327388317
679,Challenger Elementary,"PK, KG-5",Mukilteo School District,813,16.9,782,103,48,0.726,0.36700000000000005,0.29,0.075,0.431,0.07400000000000001,0,0.021,0.109,0.2657653640328886
680,Fryelands Elementary,"PK, KG-5",Monroe School District,468,18.7,686,6,25,0.336,0.36700000000000005,0.628,0,0.28600000000000003,0.024,0.002,0,0.06,0.5908004504626863
681,Sherwood Forest Elementary School,"PK, KG-5",Federal Way School District,451,16.2,767,86,28,0.506,0.366,0.335,0.08,0.242,0.171,0.006999999999999999,0.035,0.131,0.5014230789569524
682,Forks Intermediate School,4-6,Quillayute Valley School District,244,13.4,NA,(n/a),18,0.648,0.366,0.504,0,0.316,0.008,0.07400000000000001,0,0.098,0.32628693422832894
683,Sarah J Anderson Elementary,K-5,Vancouver Public Schools,791,16.9,691,8,47,0.5770000000000001,0.366,0.484,0.024,0.39299999999999996,0.018000000000000002,0.004,0.006,0.071,0.3715119412451587
